PLAYER_SK,Player_Id,Player_Name,DOB,Batting_hand,Bowling_skill,Country_Name
358,359,IC Pandey,8/15/1989,Right-hand bat,Right-arm medium,India
359,360,CM Gautam,3/8/1986,Right-hand bat,N/A,India
360,361,X Thalaivan Sargunam,5/15/1985,Right-hand bat,Right-arm offbreak,India
361,362,DJG Sammy,12/20/1983,Right-hand bat,Right-arm medium-fast,West Indies
362,363,KW Richardson,2/12/1991,Right-hand bat,Right-arm fast-medium,Australia
363,364,MM Sharma,9/18/1988,Right-hand bat,Right-arm medium,India
364,365,UA Birla,11/17/1989,Right-hand bat,Right-arm medium,India
365,366,Parvez Rasool,2/13/1989,Right-hand bat,Right-arm offbreak,India
366,367,Sandeep Sharma,5/18/1993,Right-hand bat,Right-arm medium,India
367,368,S Kaul,5/19/1990,Right-hand bat,Right-arm medium,India
368,369,Sachin Baby,12/18/1988,Left-hand bat,Right-arm offbreak,India
369,370,PV Tambe,10/8/1971,Right-hand bat,Legbreak,India
370,371,NM Coulter-Nile,10/11/1987,Right-hand bat,Right-arm fast,Australia
371,372,CJ Anderson,12/13/1990,Left-hand bat,Left-arm medium-fast,New Zealand
372,373,NJ Maddinson,12/21/1991,Left-hand bat,Slow left-arm orthodox,Australia
373,374,AR Patel,1/20/1994,Left-hand bat,Slow left-arm orthodox,India
374,375,JJ Bumrah,12/6/1993,Right-hand bat,Right-arm medium,India
375,376,JDS Neesham,9/17/1990,Left-hand bat,Right-arm medium,New Zealand
376,377,TG Southee,12/11/1988,Right-hand bat,Right-arm medium-fast,New Zealand
377,378,MA Starc,1/30/1990,Left-hand bat,Left-arm fast,Australia
378,379,BR Dunk,3/11/1987,Left-hand bat,N/A,Australia
379,380,RR Rossouw,10/9/1989,Left-hand bat,Right-arm offbreak,South Africa
380,381,Shivam Sharma,9/9/1993,Right-hand bat,Right-arm offbreak,India
381,382,YS Chahal,7/23/1990,Right-hand bat,Legbreak googly,India
382,383,LMP Simmons,1/25/1985,Right-hand bat,Right-arm medium-fast,West Indies
383,384,VH Zol,11/23/1994,Left-hand bat,Right-arm offbreak,India
384,385,BCJ Cutting,1/30/1987,Right-hand bat,Right-arm fast-medium,Australia
385,386,Imran Tahir,3/27/1979,Right-hand bat,Legbreak googly,India
386,387,BE Hendricks,6/8/1990,Left-hand bat,Left-arm fast-medium,South Africa
387,388,S Gopal,9/4/1993,Right-hand bat,Legbreak,India
388,389,M de Lange,10/13/1990,Right-hand bat,Right-arm fast,South Africa
389,390,R Tewatia,5/20/1993,Left-hand bat,Legbreak,India
390,391,JO Holder,11/5/1991,Right-hand bat,Right-arm medium-fast,West Indies
391,392,Karanveer Singh,11/8/1987,Right-hand bat,Legbreak googly,India
392,393,SS Iyer,12/6/1994,Right-hand bat,Legbreak googly,India
393,394,DJ Hooda,4/19/1995,Right-hand bat,Right-arm offbreak,India
394,395,Anureet Singh,3/2/1988,Right-hand bat,Right-arm medium,India
395,396,KS Williamson,8/8/1990,Right-hand bat,Right-arm offbreak,New Zealand
396,397,SA Abbott,2/29/1992,Right-hand bat,Right-arm fast-medium,New Zealand
397,398,J Suchith,1/16/1994,Left-hand bat,Slow left-arm orthodox,India
398,399,RG More,2/2/1992,Right-hand bat,Right-arm medium,India
399,400,HH Pandya,10/11/1993,Right-hand bat,Right-arm medium-fast,India
400,401,D Wiese,5/18/1985,Right-hand bat,Right-arm medium-fast,South Africa
401,402,SN Khan,10/27/1997,Right-hand bat,Legbreak,India
402,403,MJ McClenaghan,6/11/1986,Left-hand bat,Left-arm fast-medium,New Zealand
403,404,DJ Muthuswami,3/9/1981,Right-hand bat,Right-arm medium,India
404,405,PJ Cummins,5/8/1993,Right-hand bat,Right-arm fast,Australia
405,406,SN Thakur,10/16/1991,Right-hand bat,Right-arm medium,India
406,407,JC Buttler,9/8/1990,Right-hand bat,N/A,England
407,408,CR Brathwaite,7/18/1988,Right-hand bat,Right-arm fast-medium,West Indies
408,409,MP Stoinis,8/16/1989,Right-hand bat,Right-arm medium,Australia
409,410,Ishan Kishan,7/18/1998,Left-hand bat,N/A,India
410,411,C Munro,3/11/1987,Left-hand bat,Right-arm medium-fast,New Zealand
411,412,P Sahu,8/21/1985,Right-hand bat,Legbreak googly,India
412,413,KH Pandya,3/24/1991,Left-hand bat,Slow left-arm orthodox,India
413,414,AD Nath,5/10/1993,Right-hand bat,Right-arm medium-fast,India
414,415,MJ Guptill,9/30/1986,Right-hand bat,Right-arm offbreak,New Zealand
415,416,KJ Abbott,6/18/1987,Right-hand bat,Right-arm fast-medium,South Africa
416,417,TM Head,12/29/1993,Left-hand bat,Right-arm offbreak,Australia
417,418,M Ashwin,9/8/1990,Right-hand bat,Legbreak googly,India
418,419,NS Naik,11/9/1994,Right-hand bat,N/A,India
419,420,RR Pant,10/4/1997,Left-hand bat,N/A,India
420,421,SW Billings,6/15/1991,Right-hand bat,N/A,England
421,422,KC Cariappa,4/13/1994,Right-hand bat,Legbreak,India
422,423,PSP Handscomb,4/26/1991,Right-hand bat,N/A,Australia
423,424,Swapnil Singh,1/22/1991,Right-hand bat,Slow left-arm orthodox,India
424,425,J Yadav,1/22/1990,Right-hand bat,Right-arm offbreak,India
425,426,UT Khawaja,12/18/1986,Left-hand bat,Right-arm medium,Australia
426,427,HM Amla,3/31/1983,Right-hand bat,Right-arm offbreak,South Africa
427,428,F Behardien,10/9/1983,Right-hand bat,Right-arm fast-medium,South Africa
428,429,BB Sran,12/10/1992,Left-hand bat,Left-arm medium,India
429,430,A Zampa,3/31/1992,Right-hand bat,Legbreak googly,Australia
430,431,N Rana,12/27/1993,Left-hand bat,Right-arm offbreak,India
431,432,S Kaushik,9/7/1995,Right-hand bat,Slow left-arm chinaman,India
432,433,ER Dwivedi,7/22/1988,Right-hand bat,N/A,India
433,434,CJ Jordan,10/4/1988,Right-hand bat,Right-arm fast-medium,England
434,435,P Amarnath,6/1/1982,Right-hand bat,Right-arm medium,India
435,436,B Geeves,6/13/1982,Right-hand bat,Right-arm fast-medium,Australia
436,437,Gagandeep Singh,10/3/1981,Right-hand bat,Right-arm medium-fast,India
437,438,A Nel,7/15/1977,Right-hand bat,Right-arm fast-medium,South Africa
438,439,AM Salvi,10/20/1981,Right-hand bat,Right-arm medium,India
439,440,RR Bose,2/27/1979,Right-hand bat,Right-arm fast-medium,India
440,441,SS Sarkar,12/15/1984,Right-hand bat,Right-arm medium,India
441,442,RA Shaikh,6/12/1985,Left-hand bat,Left-arm medium,India
442,443,C Ganapathy,6/10/1981,Right-hand bat,Right-arm medium,India
443,444,MB Parmar,4/12/1988,Right-hand bat,Right-arm offbreak,India
444,445,AA Kazi,9/29/1989,Left-hand bat,Slow left-arm orthodox,India
445,446,Anand Rajan,4/17/1987,Right-hand bat,Right-arm medium,India
446,447,P Prasanth,5/22/1985,Left-hand bat,Slow left-arm orthodox,India
447,448,SS Mundhe,10/27/1988,Right-hand bat,Right-arm medium,India
448,449,RW Price,6/12/1976,Right-hand bat,Slow left-arm orthodox,Zimbabwea
449,450,TP Sudhindra,4/24/1984,Left-hand bat,Right-arm fast,India
450,451,BW Hilfenhaus,3/15/1983,Right-hand bat,Right-arm fast-medium,Australia
451,452,S Badree,3/9/1981,Right-hand bat,Legbreak,West Indies
452,453,P Suyal,10/15/1989,Right-hand bat,Left-arm medium,India
453,454,MG Neser,3/29/1990,Right-hand bat,Right-arm medium,Australia
454,455,V Shankar,1/26/1991,Right-hand bat,Right-arm medium,India
455,456,K Santokie,12/20/1984,Left-hand bat,Left-arm medium,West Indies
456,457,JW Hastings,11/4/1985,Right-hand bat,Right-arm fast-medium,Australia
457,458,TA Boult,7/22/1989,Right-hand bat,Left-arm fast-medium,New Zealand
458,459,GS Sandhu,6/14/1993,Left-hand bat,Right-arm fast-medium,Australia
459,460,Mustafizur Rahman,9/6/1995,Left-hand bat,Left-arm fast-medium,Bangladesh
460,461,AF Milne,4/13/1992,Right-hand bat,Right-arm fast,New Zealand
461,462,Kuldeep Yadav,12/14/1994,Left-hand bat,Slow left-arm chinaman,India
462,463,T Shamsi,2/18/1990,Right-hand bat,Slow left-arm chinaman,South Africa
463,464,SM Boland,4/11/1989,Right-hand bat,Right-arm fast-medium,Australia
464,465,DL Chahar,8/7/1992,Right-hand bat,Right-arm medium,India
465,466,P Dharmani,9/27/1974,Right-hand bat,N/A,India
466,467,RV Pawar,9/6/1979,Left-hand bat,Slow left-arm orthodox,India
467,468,KH Devdhar,12/14/1989,Right-hand bat,N/A,India
468,469,T Mishra,12/22/1986,Right-hand bat,Right-arm fast-medium,India
469,470,A Choudhary,1/28/1990,Right-hand bat,Left-arm medium,India
470,471,AJ Tye,12/12/1986,Right-handed,Right-arm medium fast,Australia
471,472,Ankit Soni,8/2/1993, Right-hand bat, Legbreak,India
472,473,AR Bawne,12/17/1992, Right-hand bat,Right-arm offbreak,India
473,474,Avesh Khan,12/13/1996,Right-hand bat,Right-arm medium-fast,India
474,475,B Stanlake,11/4/1994,Left-hand bat,Right-arm fast,Australia
475,476,BA Stokes,6/4/1991,Left-hand bat,Right-arm fast-medium,England
476,477,Basil Thampi,9/11/1993,Right-hand bat, Right-arm fast-medium,India
477,478,C de Grandhomme,7/22/1986,Right-hand bat,Right-arm fast-medium,New Zealand
478,479,CR Woakes,3/2/1989, Right-hand bat,Right-arm fast-medium,England
479,480,DM Bravo,2/6/1989, Left-hand bat,Right-arm medium-fast,West Indies
480,481,JJ Roy,7/21/1990, Right-hand bat,NULL,England
481,482,K Rabada,5/25/1995, Left-hand bat,Right-arm fast,South Africa
482,483,LH Ferguson,6/13/1991,Right-hand bat,Right-arm fast,New Zealand
483,484,MJ Henry,12/14/1991, Right-hand bat,Right-arm fast-medium,New Zealand
484,485,Mohammad Nabi,1/1/1985, Right-hand bat,Right-arm offbreak,Afghanistan
485,486,Mohammed Siraj,3/13/1994,Right-hand bat, Right-arm medium-fast,India
486,487,NB Singh,9/8/1995,Right-hand bat,Right-arm medium,India
487,488,RA Tripathi,3/2/1991, Right-hand bat,Right-arm medium,India
488,489,Rashid Khan,11/20/1998,Right-hand bat,Legbreak googly,Afghanistan
489,490,RD Chahar,8/4/1999,Right-hand bat,Legbreak googly,India
490,491,SP Jackson,9/27/1986,Right-hand bat,NULL,India
491,492,SS Agarwal,11/21/1993,Right-hand bat,Legbreak googly,India
492,493,T Natarajan,5/27/1991,Left-hand bat,Left-arm medium,India
493,494,Tejas Baroka,2/1/1996,Right-hand bat,Legbreak googly,India
494,495,TS Mills,8/12/1992,Right-hand bat, Left-arm fast,England
495,496,Vishnu Vinod,12/2/1993,Right-hand bat,NULL,India
496,497,Washington Sundar,10/5/1999, Left-hand bat, Right-arm offbreak,India
